id,node_id,seq,temperature,humidity,rssi,snr,uptime_s,checksum_ok,received_at
6035,2,1438,30.4,69,-67,8.75,21585,t,2026-09-05 18:07:43.886928+00
6036,1,926,25.8,82.1,-95,5,13905,t,2026-09-05 18:07:51.449579+00
6037,2,1439,30.4,69,-67,8.25,21600,t,2026-09-05 18:07:58.887004+00
6038,1,927,25.9,82.1,-95,5.25,13920,t,2026-09-05 18:08:06.098918+00
6039,2,1440,30.3,69,-67,8.5,21615,t,2026-09-05 18:08:13.935116+00
6040,1,928,25.8,82.1,-95,5,13935,t,2026-09-05 18:08:21.147457+00
6041,2,1441,30.2,69,-68,8.75,21630,t,2026-09-05 18:08:28.883271+00
6042,1,929,25.8,82.1,-95,5,13950,t,2026-09-05 18:08:36.092326+00
6043,2,1442,30.6,69,-68,8.75,21645,t,2026-09-05 18:08:43.971342+00
6044,1,930,25.8,82.1,-94,5.75,13965,t,2026-09-05 18:08:51.092129+00
6045,2,1443,30.5,69,-68,8.75,21660,t,2026-09-05 18:08:58.883833+00
6046,2,1444,30.9,69,-68,8.75,21675,t,2026-09-05 18:09:13.883864+00
6047,2,1445,30.7,69,-68,9,21690,t,2026-09-05 18:09:28.885291+00
6048,1,933,25.8,82.1,-95,5.25,14010,t,2026-09-05 18:09:43.34033+00
6049,2,1446,30.2,69,-68,8.5,21705,t,2026-09-05 18:09:44.201475+00
6050,2,1447,30.2,69,-69,8.75,21720,t,2026-09-05 18:09:58.900785+00
6051,1,935,25.8,82,-95,5,14040,t,2026-09-05 18:10:06.091534+00
6052,1,936,25.8,82.1,-95,4.75,14055,t,2026-09-05 18:10:21.216296+00
6053,2,1449,30.4,69,-67,9,21750,t,2026-09-05 18:10:28.882946+00
6054,1,937,25.8,82.1,-94,5.5,14070,t,2026-09-05 18:10:36.088414+00
6055,2,1450,30.7,69,-68,8.75,21765,t,2026-09-05 18:10:43.884978+00
6056,1,938,25.8,82.1,-94,5,14085,t,2026-09-05 18:10:51.089665+00
6057,2,1451,30.6,69,-68,8.75,21780,t,2026-09-05 18:10:58.908503+00
6058,1,939,25.8,82.1,-94,5,14100,t,2026-09-05 18:11:06.089918+00
6059,2,1452,30.8,69,-68,8.5,21795,t,2026-09-05 18:11:13.881717+00
6060,1,940,25.8,82.1,-95,4.75,14115,t,2026-09-05 18:11:21.088262+00
6061,1,941,25.8,82.1,-94,5.5,14130,t,2026-09-05 18:11:36.087346+00
6062,2,1454,30.3,69,-69,8.5,21825,t,2026-09-05 18:11:43.879639+00
6063,1,942,25.8,82.1,-94,5,14145,t,2026-09-05 18:11:51.091602+00
6064,2,1455,30.5,69,-68,8.75,21840,t,2026-09-05 18:11:58.877485+00
6065,1,943,25.8,81.9,-94,5,14160,t,2026-09-05 18:12:06.211623+00
6066,2,1456,30.4,69,-68,8.75,21855,t,2026-09-05 18:12:13.879895+00
6067,1,944,25.8,82.1,-95,5,14175,t,2026-09-05 18:12:21.088149+00
6068,2,1457,30.6,69,-68,8.5,21870,t,2026-09-05 18:12:28.880014+00
6069,1,945,25.8,82.1,-94,5,14190,t,2026-09-05 18:12:36.087188+00
6070,2,1458,30.7,69,-68,8.75,21885,t,2026-09-05 18:12:43.877851+00
6071,1,946,25.8,82.1,-94,5,14205,t,2026-09-05 18:12:51.088552+00
