id,node_id,seq,round_id,n_samples,w0,w1,w2,w3,rssi,snr,checksum_ok,received_at
1276,1,756,80,32,0.444262,0.225428,0.068526,0.115478,-95,4.75,t,2026-09-05 17:25:07.406797+00
1277,2,1272,80,32,0.450877,0.236248,0.082823,0.13335,-61,9.5,t,2026-09-05 17:25:59.976988+00
1278,1,760,80,32,0.441397,0.226498,0.069465,0.115665,-94,5,t,2026-09-05 17:26:10.525605+00
1279,2,1276,80,32,0.450359,0.236183,0.083054,0.133637,-61,9,t,2026-09-05 17:26:59.563241+00
1280,1,764,80,32,0.441395,0.226498,0.069467,0.115676,-94,5.25,t,2026-09-05 17:27:07.354981+00
1281,2,1280,80,32,0.450094,0.236301,0.083531,0.134339,-61,9.75,t,2026-09-05 17:27:59.784378+00
1282,1,768,80,32,0.441393,0.226499,0.069467,0.115684,-95,4.75,t,2026-09-05 17:28:06.870529+00
1283,2,1284,80,32,0.449838,0.236165,0.083934,0.134932,-61,9.25,t,2026-09-05 17:28:59.682425+00
1284,1,772,80,32,0.44139,0.226498,0.069469,0.115691,-95,4.75,t,2026-09-05 17:29:07.346923+00
1285,2,1288,81,32,0.44699,0.234623,0.085184,0.136769,-62,9.5,t,2026-09-05 17:29:59.902349+00
1286,1,776,81,32,0.44137,0.226488,0.069478,0.115699,-95,4.75,t,2026-09-05 17:30:07.54222+00
1287,2,1292,81,32,0.448858,0.235454,0.083075,0.134681,-62,9.5,t,2026-09-05 17:31:00.016531+00
1288,1,780,81,32,0.439348,0.225725,0.069768,0.116908,-95,4.5,t,2026-09-05 17:31:06.972725+00
1289,2,1296,81,32,0.4486,0.235496,0.083907,0.135905,-62,9.5,t,2026-09-05 17:31:59.591417+00
1290,1,784,81,32,0.439295,0.225671,0.069686,0.116807,-95,4.5,t,2026-09-05 17:32:07.290091+00
1291,2,1300,81,32,0.447467,0.23482,0.0839,0.135894,-60,9.75,t,2026-09-05 17:33:00.109329+00
1292,2,1304,81,32,0.446371,0.234032,0.08393,0.135938,-60,9.25,t,2026-09-05 17:33:59.621511+00
1293,1,792,81,32,0.439326,0.225721,0.069754,0.116891,-95,5,t,2026-09-05 17:34:06.77943+00
1294,2,1308,82,32,0.442011,0.230411,0.086449,0.139643,-60,9.5,t,2026-09-05 17:34:59.679825+00
1295,1,796,82,32,0.439295,0.225744,0.069764,0.116903,-95,5,t,2026-09-05 17:35:07.166335+00
1296,2,1312,82,32,0.446089,0.233442,0.084898,0.13826,-60,9,t,2026-09-05 17:35:59.839519+00
1297,1,800,82,32,0.435916,0.223349,0.070698,0.119138,-94,5,t,2026-09-05 17:36:06.903484+00
1298,2,1316,82,32,0.444775,0.232089,0.084771,0.138072,-60,9.25,t,2026-09-05 17:36:59.41493+00
