id,node_id,seq,temperature,humidity,rssi,snr,uptime_s,checksum_ok,error,received_at
4308,2,493,30.9,71,-46,9.5,7410,t,,2026-09-05 14:11:29.295913+00
4309,2,494,30,71,-45,9.25,7425,t,,2026-09-05 14:11:44.29718+00
4310,2,495,30.3,71,-46,9.5,7440,t,,2026-09-05 14:11:59.9879+00
4311,1,373,26.1,78,-100,-8.5,5610,t,,2026-09-05 14:12:26.094251+00
4312,2,497,30.4,71,-45,9.75,7470,t,,2026-09-05 14:12:29.293955+00
4313,2,498,30.2,71,-46,9.75,7485,t,,2026-09-05 14:12:44.294987+00
4314,2,499,30.6,71,-46,10,7500,t,,2026-09-05 14:12:59.295724+00
4315,2,500,30.6,70,-46,9.5,7515,t,,2026-09-05 14:13:14.44316+00
4316,2,501,30.8,71,-48,10.25,7530,t,,2026-09-05 14:13:29.425911+00
4317,2,502,30.3,71,-46,9.5,7545,t,,2026-09-05 14:13:44.294277+00
4318,2,503,30.6,71,-46,10.25,7560,t,,2026-09-05 14:13:59.464287+00
4319,2,504,30.5,70,-46,9.5,7575,t,,2026-09-05 14:14:14.290435+00
4320,2,505,30.3,71,-43,10.25,7590,t,,2026-09-05 14:14:29.452983+00
4321,2,506,30.9,71,-51,9.75,7605,t,,2026-09-05 14:14:44.292343+00
4322,2,507,30.9,70,-46,9.5,7620,t,,2026-09-05 14:14:59.289798+00
4323,2,508,30.2,71,-43,9.75,7635,t,,2026-09-05 14:15:14.351214+00
4324,1,385,26.1,78.2,-100,-9,5790,t,,2026-09-05 14:15:25.669454+00
4325,2,509,30.7,70,-43,9.75,7650,t,,2026-09-05 14:15:29.287694+00
4326,1,386,26.1,78.2,-99,-2,5805,t,,2026-09-05 14:15:40.669038+00
4327,2,510,30.5,71,-43,10,7665,t,,2026-09-05 14:15:44.288408+00
4328,2,511,30.5,71,-42,10.5,7680,t,,2026-09-05 14:15:59.503038+00
4329,2,512,30.6,70,-43,8.75,7695,t,,2026-09-05 14:16:14.765159+00
4330,1,0,26.1,79.2,-94,4.75,15,t,,2026-09-05 14:16:21.214942+00
4331,2,513,30.9,70,-42,9.75,7710,t,,2026-09-05 14:16:29.286871+00
4332,1,1,26.1,79.1,-96,2.5,30,t,,2026-09-05 14:16:36.215957+00
4333,2,514,30,70,-42,10.25,7725,t,,2026-09-05 14:16:44.28483+00
4334,1,2,26.1,78.8,-94,4.5,45,t,,2026-09-05 14:16:51.213137+00
4335,2,515,30.5,70,-46,9.25,7740,t,,2026-09-05 14:16:59.61681+00
4336,1,3,26.1,78.6,-94,5,60,t,,2026-09-05 14:17:06.213684+00
4337,2,516,30.8,70,-43,9.75,7755,t,,2026-09-05 14:17:14.364444+00
4338,2,517,30.7,70,-43,10,7770,t,,2026-09-05 14:17:29.284967+00
4339,1,5,26.1,78.6,-93,5.5,90,t,,2026-09-05 14:17:36.231763+00
4340,2,518,30.7,70,-42,9.5,7785,t,,2026-09-05 14:17:44.284296+00
4341,1,6,26.1,78.6,-93,6,105,t,,2026-09-05 14:17:51.212652+00
4342,2,519,30.7,70,-42,9.75,7800,t,,2026-09-05 14:17:59.282782+00
4343,1,7,26.1,78.6,-92,5.75,120,t,,2026-09-05 14:18:06.391201+00
4344,2,520,30.9,70,-42,9.75,7815,t,,2026-09-05 14:18:14.316072+00
4345,1,8,26.1,78.5,-94,4,135,t,,2026-09-05 14:18:21.515909+00
4346,2,521,30.2,70,-47,9.75,7830,t,,2026-09-05 14:18:29.284061+00
4347,2,522,30.4,70,-47,9.75,7845,t,,2026-09-05 14:18:44.477912+00
